Регион,Население,Медианная зп (руб),92,95,98,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни,Индекс привлекательности рабочей силы,Социальная ориентированность бюджетов
Саратовская область,5388759,49300,43.80,47.39,54.93,49.32,191,85,35,1.5,,76.31,11465.30,27.76680304,75.88,93.43
Сахалинская область,2396961,22600,43.18,46.49,51.40,47.36,222,127,75,4.2,,73.07,9339.00,26.1859924,46.75,43.54
Свердловская область,485627,57100,51.78,54.87,60.09,57.71,211,118,85,5.1,,70.28,15065.00,16.21783997,42.74,106.29
Смоленская область,4291886,31400,42.65,45.78,52.33,49.06,98,66,93,4,,71.81,10811.00,25.7678074,56.80,58.12
Ставропольский край,513149,24100,45.53,50.74,56.99,48.93,281,122,29,3.6,,73.53,11538.00,11.60393017,46.28,55.05
Тамбовская область,921620,23400,43.62,46.91,52.92,46.41,240,99,104,4.9,,71.89,10810.00,7.668663671,51.52,39.01
Тверская область,2794625,22200,44.78,49.24,55.43,47.38,202,96,87,4.6,,74.66,9250.00,68.54106884,46.61,39.67
Томская область,995761,25700,43.75,47.48,53.1,47.43,216,124,86,3.8,,73.56,9879.00,15.36620783,39.46,39.09
Тульская область,1246759,34300,43.52,46.51,53.55,48.48,234,145,79,4.1,,71.24,10676.68,24.21267381,43.75,40.31
Тюменская область,1070544,28900,41.09,43.73,49.05,50.72,111,55,117,4.8,,72.85,11656.00,27.7041561,53.20,41.2
Удмуртская Республика,1450675,37400,43.46,47.55,53.79,47.37,201,131,90,3.9,,72.21,10621.00,19.99662283,55.81,51.12
Ульяновская область,3778024,26300,42.18,46.50,53.42,48.93,284,175,54,4,,72.75,11447.00,48.59382356,47.46,79.78
Хабаровский край,1493700,23700,43.41,46.65,52.1,49.03,267,129,59,4.1,,72.8,9830.00,40.13272791,47.91,49.02
Ханты-Мансийский автономный округ — Югра,1219240,40500,42.49,45.72,52.71,47.46,194,98,75,4.1,,72.96,10159.00,17.13426459,58.46,45.92
Челябинская область,1302918,58000,45.41,47.46,49,51.76,255,128,73,3.5,,70.05,14417.00,20.1241505,52.19,45.21
Чеченская Республика,1688378,28400,44.18,46.98,53.88,52.22,122,86,75,2.3,,75.04,15376.00,8.849961736,36.60,80.05
Чувашская Республика,3444025,21300,40.36,44.13,53.02,47.73,208,110,65,4.9,,72.08,10276.00,311.1414762,45.96,49.7
Чукотский автономный округ,1500490,22100,42.83,45.48,49.79,42.67,44,18,264,13.5,,75.88,10998.00,36.89245673,27.72,61.83
Ямало-Ненецкий автономный округ,1208806,78200,42.95,46.22,53.13,47.13,250,98,73,4.5,,73.44,9285.00,522.3880726,53.30,40.01
Ярославская область,49300,75500,60.00,63.00,53.02,62.00,147,36,222,4.6,,68.09,21997.00,2.212250393,49.07,17.5
